               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097455,             0.10728,                   0,          0.00077922,            0.029364,          0.00040179,          7.0859e-05,             0.06767,             0.07437,                   0,             0.07039,             0.00329,             0.00329
                   1,            0.078781,            0.065999,                   0,            0.001369,            0.075041,          0.00073746,          0.00019327,            0.052844,            0.050789,                   0,            0.040368,           0.0066015,           0.0066015
                   2,            0.058932,            0.055395,                   0,          0.00054878,            0.088091,          0.00030522,          6.4254e-05,            0.077981,             0.02764,                   0,            0.010324,            0.009891,            0.009891
                   3,            0.054062,             0.04224,                   0,          0.00017026,            0.047308,           8.957e-05,          2.2541e-05,            0.059054,            0.031897,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.048956,            0.031027,                   0,            0.058861,              0.1044,            0.023724,           0.0083345,            0.040643,            0.028633,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.044154,            0.026245,                   0,            0.042088,             0.27896,            0.033941,            0.012216,            0.039228,            0.029028,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.041937,            0.021123,                   0,             0.42328,             0.51387,             0.48506,             0.15044,             0.02953,            0.029581,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.039772,            0.018998,                   0,             0.70533,             0.83524,             0.79894,             0.24107,            0.026021,             0.02223,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.036249,            0.016352,                   0,             0.62937,             0.66762,             0.52133,             0.08162,            0.038187,            0.024769,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.03458,            0.014504,                   0,              0.9446,              0.9429,             0.94382,              0.3046,            0.024129,            0.011333,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.034136,             0.01342,                   0,             0.99734,             0.99511,             0.99497,             0.57472,            0.021566,            0.010381,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.031504,            0.012261,                   0,             0.96978,             0.92822,             0.95527,             0.45322,            0.025239,            0.010786,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.030579,            0.013322,                   0,             0.98663,             0.96304,             0.99236,             0.60849,            0.020979,            0.015146,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.03131,            0.012347,                   0,             0.99509,              0.9925,             0.99493,             0.67031,            0.015888,            0.012335,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.029278,            0.011987,                   0,             0.99395,             0.99184,             0.99493,              0.6962,            0.015183,           0.0091207,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.028837,            0.011919,                   0,             0.99836,             0.99439,               0.995,             0.69981,            0.016974,           0.0082801,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.029307,            0.011551,                   0,             0.99591,             0.99347,             0.99495,             0.71753,            0.014969,           0.0080705,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.026906,            0.010769,                   0,             0.99836,             0.99593,               0.995,             0.71412,            0.015275,            0.007622,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.026728,            0.010395,                   0,             0.99999,             0.99674,               0.995,             0.66992,            0.017244,           0.0083061,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.027795,            0.011024,                   0,             0.99989,             0.99837,               0.995,             0.71009,            0.014635,           0.0081516,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.026342,            0.010538,                   0,             0.97891,             0.98438,             0.99419,             0.72033,            0.014976,           0.0083593,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.024955,            0.010023,                   0,             0.99449,             0.99674,             0.99498,             0.69709,            0.014617,           0.0073148,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.024111,           0.0096194,                   0,             0.99842,             0.98369,             0.99495,             0.73797,            0.013494,           0.0072743,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.027277,             0.00964,                   0,              0.9887,                   1,             0.99485,              0.6952,            0.015216,           0.0072249,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.024131,            0.009365,                   0,             0.99898,             0.99837,               0.995,             0.70274,            0.014134,           0.0069588,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.023556,           0.0093273,                   0,             0.99789,             0.99837,               0.995,             0.71502,            0.014629,           0.0066267,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.023301,           0.0092193,                   0,             0.99735,             0.99674,               0.995,             0.70832,            0.014793,           0.0070841,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.024394,           0.0088569,                   0,             0.99674,             0.99829,             0.99497,             0.70456,             0.01559,           0.0067494,                   0,            0.009142,            0.009142,            0.009142
                  28,              0.0235,           0.0089407,                   0,             0.99837,             0.99613,             0.99493,             0.74527,            0.012682,           0.0067523,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.023407,           0.0089943,                   0,             0.99787,                   1,               0.995,             0.74477,            0.013306,           0.0067588,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.022357,           0.0090412,                   0,              0.9951,              0.9935,              0.9948,             0.73072,            0.014636,           0.0069168,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.021942,            0.008978,                   0,             0.99805,             0.99674,               0.995,             0.71563,            0.016052,           0.0070663,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.021992,           0.0082403,                   0,             0.99976,                   1,               0.995,             0.76344,            0.012409,            0.006259,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.022662,           0.0082515,                   0,                   1,             0.99665,               0.995,             0.73358,            0.014644,           0.0064658,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.019402,           0.0085148,                   0,                   1,             0.99955,               0.995,             0.76882,            0.012303,           0.0064217,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.020418,           0.0080022,                   0,             0.99996,                   1,               0.995,             0.73572,            0.013927,           0.0062093,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.021681,           0.0084708,                   0,             0.99985,                   1,               0.995,             0.77126,            0.011874,           0.0062666,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.021434,           0.0082663,                   0,             0.99989,                   1,               0.995,             0.75709,            0.011689,           0.0060457,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.021792,           0.0078846,                   0,             0.99674,             0.99766,               0.995,             0.74459,            0.014668,            0.006455,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.022141,           0.0082317,                   0,                   1,              0.9999,               0.995,             0.76814,              0.0128,           0.0062919,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.021081,           0.0079885,                   0,             0.99673,             0.99837,               0.995,             0.75397,            0.013645,           0.0063622,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.021129,           0.0079013,                   0,             0.99467,             0.99511,             0.99497,             0.75495,            0.011831,           0.0063479,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.021641,           0.0081533,                   0,             0.99837,              0.9992,               0.995,             0.76661,            0.011973,           0.0062934,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.020426,            0.007861,                   0,             0.99919,                   1,               0.995,             0.77759,            0.011595,           0.0060684,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.020888,           0.0080011,                   0,             0.99812,             0.99837,               0.995,              0.7746,            0.011974,           0.0063583,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.019146,           0.0076262,                   0,             0.99994,                   1,               0.995,             0.77266,            0.011356,           0.0057533,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.021197,            0.007602,                   0,                   1,             0.99734,               0.995,             0.77162,            0.011867,           0.0060804,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.02025,           0.0078797,                   0,             0.95889,             0.76094,             0.84215,             0.52437,            0.023495,            0.011849,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.019157,           0.0078378,                   0,             0.99962,                   1,               0.995,             0.78238,            0.011051,           0.0059329,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.018949,           0.0074438,                   0,             0.99999,                   1,               0.995,             0.78842,            0.011357,           0.0058537,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.020172,           0.0076843,                   0,             0.99981,                   1,               0.995,             0.78724,            0.011036,           0.0058344,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.01892,           0.0075024,                   0,                   1,             0.99967,               0.995,             0.78393,             0.01074,           0.0060107,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.018542,           0.0072204,                   0,              0.9997,                   1,               0.995,              0.7868,            0.011109,           0.0057864,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.018781,            0.007007,                   0,             0.99986,             0.99837,               0.995,             0.78181,            0.011041,           0.0056891,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.018797,           0.0073715,                   0,             0.99985,                   1,               0.995,             0.78945,            0.011483,           0.0056517,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.018305,           0.0076283,                   0,             0.99976,                   1,               0.995,             0.79278,            0.010739,           0.0056995,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.018868,           0.0073087,                   0,             0.99979,                   1,               0.995,              0.7939,            0.011112,           0.0057704,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.019647,           0.0075531,                   0,             0.99983,                   1,               0.995,             0.79997,            0.010705,            0.005876,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.019325,           0.0074145,                   0,             0.99985,                   1,               0.995,             0.77908,            0.010878,           0.0056856,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.018843,           0.0071071,                   0,             0.99985,                   1,               0.995,             0.78802,            0.011025,           0.0054582,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.016517,           0.0070254,                   0,             0.99977,                   1,               0.995,             0.78281,            0.011989,           0.0055241,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.018596,           0.0070959,                   0,              0.9997,                   1,               0.995,             0.79569,            0.010786,           0.0056543,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.018189,           0.0071127,                   0,             0.99984,                   1,               0.995,             0.79836,            0.010444,            0.005514,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.018189,           0.0073194,                   0,             0.99963,                   1,               0.995,             0.79169,            0.010869,            0.006031,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.017619,           0.0073237,                   0,             0.99928,             0.99837,               0.995,              0.7626,            0.012183,           0.0060076,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.018005,           0.0069897,                   0,             0.99965,                   1,               0.995,             0.78951,            0.010755,           0.0055173,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.017877,            0.006977,                   0,             0.99985,                   1,               0.995,             0.80933,            0.010775,           0.0056208,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.017523,           0.0072891,                   0,             0.99987,                   1,               0.995,             0.81019,            0.010301,           0.0054071,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.017551,           0.0069389,                   0,             0.99983,                   1,               0.995,             0.79705,            0.010689,           0.0054201,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.016614,           0.0066843,                   0,              0.9999,                   1,               0.995,             0.80787,            0.010094,           0.0052173,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018784,           0.0072374,                   0,             0.99987,                   1,               0.995,             0.78937,             0.01037,           0.0053715,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.019032,           0.0073176,                   0,             0.99981,                   1,               0.995,             0.80465,            0.010589,           0.0053822,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.017217,           0.0069258,                   0,             0.99985,                   1,               0.995,             0.80355,           0.0098816,           0.0053391,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.016766,           0.0067876,                   0,             0.99965,             0.99674,               0.995,             0.76129,            0.011893,           0.0060368,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.01635,           0.0066905,                   0,             0.99981,                   1,               0.995,             0.77013,            0.010695,           0.0053868,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.017162,           0.0069445,                   0,             0.99986,                   1,               0.995,             0.80305,             0.01031,           0.0052124,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.018178,           0.0071047,                   0,             0.99973,                   1,               0.995,             0.80276,            0.010213,           0.0053928,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.017326,           0.0069468,                   0,             0.99807,             0.99837,               0.995,             0.78625,            0.011173,           0.0054005,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.017209,           0.0068916,                   0,             0.99975,                   1,               0.995,             0.81563,           0.0096638,           0.0053864,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.016992,           0.0067829,                   0,             0.99985,                   1,               0.995,             0.79664,            0.011012,           0.0053279,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.017445,           0.0066516,                   0,             0.99987,                   1,               0.995,             0.81374,           0.0097054,            0.005368,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.016611,            0.006645,                   0,              0.9998,                   1,               0.995,             0.80446,           0.0097216,           0.0053258,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.016122,           0.0070439,                   0,             0.99984,                   1,               0.995,             0.81253,           0.0097571,           0.0051568,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.017616,           0.0064088,                   0,             0.99986,                   1,               0.995,             0.80583,           0.0098111,            0.005117,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.017496,           0.0070895,                   0,             0.99992,                   1,               0.995,             0.80399,            0.010388,           0.0053996,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.016511,           0.0061465,                   0,             0.99991,                   1,               0.995,             0.80648,           0.0099315,           0.0051311,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.016929,           0.0069383,                   0,                   1,              0.9999,               0.995,             0.80775,            0.010163,           0.0052439,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.016163,           0.0066784,                   0,             0.99983,                   1,               0.995,             0.79759,            0.010557,           0.0054277,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.016831,           0.0069747,                   0,             0.99993,                   1,               0.995,             0.79843,           0.0099518,           0.0053084,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.016984,           0.0066245,                   0,             0.99988,                   1,               0.995,             0.79333,            0.010057,           0.0051731,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.016818,           0.0066878,                   0,                   1,             0.99783,               0.995,             0.76259,            0.012212,           0.0056893,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.016578,            0.006314,                   0,             0.99979,                   1,               0.995,             0.81649,           0.0096107,           0.0050952,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.016434,           0.0064834,                   0,             0.99985,                   1,               0.995,             0.80454,            0.010471,           0.0052191,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.016897,            0.006962,                   0,             0.99982,                   1,               0.995,             0.80791,           0.0098433,           0.0052781,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.016177,           0.0062428,                   0,             0.99985,                   1,               0.995,             0.81584,           0.0096952,           0.0052105,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.017244,           0.0069649,                   0,              0.9999,                   1,               0.995,             0.81673,           0.0094958,            0.005154,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.015177,           0.0061052,                   0,             0.99988,                   1,               0.995,             0.82217,           0.0095396,           0.0050329,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.016066,            0.006383,                   0,             0.99984,                   1,               0.995,             0.82205,           0.0095718,           0.0050581,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.016401,           0.0062454,                   0,             0.99982,                   1,               0.995,             0.81471,           0.0097284,           0.0051396,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.01492,           0.0063786,                   0,             0.99988,                   1,               0.995,              0.8213,           0.0095405,           0.0050656,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.015184,           0.0061465,                   0,             0.99979,             0.99837,               0.995,             0.80788,            0.010329,            0.005137,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.01613,           0.0069081,                   0,             0.99977,                   1,               0.995,              0.8156,           0.0095548,           0.0050702,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.016125,           0.0065436,                   0,             0.99987,                   1,               0.995,             0.80982,           0.0096094,           0.0052794,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.016371,           0.0068269,                   0,             0.99996,                   1,               0.995,             0.80576,            0.010185,           0.0052069,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.016676,            0.006459,                   0,             0.99986,                   1,               0.995,              0.8123,           0.0095793,           0.0049998,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.016004,           0.0068048,                   0,             0.99983,                   1,               0.995,             0.81801,           0.0093208,           0.0050188,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.015556,           0.0064651,                   0,             0.99969,                   1,               0.995,             0.80304,            0.010022,           0.0054017,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.015446,           0.0063062,                   0,             0.99987,                   1,               0.995,             0.82259,           0.0093546,           0.0049052,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.015757,           0.0061803,                   0,             0.99986,                   1,               0.995,             0.82524,           0.0093559,           0.0048866,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.015539,           0.0062656,                   0,             0.99988,                   1,               0.995,             0.81855,           0.0094338,           0.0050502,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.01581,           0.0063719,                   0,             0.99987,                   1,               0.995,             0.81656,           0.0094395,           0.0050538,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.01493,           0.0064776,                   0,             0.99985,                   1,               0.995,             0.81358,           0.0095837,           0.0051003,                   0,             0.00637,             0.00637,             0.00637
                 112,              0.0148,           0.0066664,                   0,             0.99987,                   1,               0.995,             0.82006,           0.0093269,           0.0049582,                   0,            0.006337,            0.006337,            0.006337
                 113,             0.01586,           0.0061699,                   0,             0.99974,             0.99674,               0.995,             0.80097,           0.0099372,           0.0052056,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.015258,           0.0063968,                   0,             0.99967,                   1,               0.995,             0.81169,           0.0098064,            0.005242,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.015189,           0.0064107,                   0,              0.9998,                   1,               0.995,             0.82091,           0.0094287,           0.0051152,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.015146,           0.0062873,                   0,             0.99983,                   1,               0.995,             0.82093,           0.0092459,           0.0049535,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.015113,           0.0062922,                   0,             0.99989,                   1,               0.995,             0.82755,           0.0091606,            0.004896,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.016144,           0.0065558,                   0,             0.99988,                   1,               0.995,             0.82671,           0.0090692,           0.0049261,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.015102,           0.0063897,                   0,             0.99984,                   1,               0.995,             0.82365,           0.0092042,           0.0049381,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.014869,           0.0060846,                   0,             0.99989,                   1,               0.995,             0.83017,           0.0089089,           0.0047955,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.015358,           0.0062348,                   0,             0.99985,                   1,               0.995,             0.81647,           0.0095471,           0.0050286,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.015251,           0.0063159,                   0,             0.99989,                   1,               0.995,             0.82331,           0.0093497,           0.0049193,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.015337,           0.0063705,                   0,                   1,              0.9999,               0.995,             0.80923,            0.010478,           0.0049309,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.014747,           0.0061453,                   0,             0.99984,                   1,               0.995,             0.81904,           0.0095017,           0.0050068,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.014888,            0.006468,                   0,             0.99986,                   1,               0.995,             0.82644,           0.0090072,           0.0048593,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.01485,           0.0061498,                   0,             0.99987,                   1,               0.995,             0.81962,           0.0089556,           0.0048962,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.014503,           0.0061205,                   0,             0.99982,                   1,               0.995,             0.82379,           0.0088729,            0.004973,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.013972,           0.0058234,                   0,             0.99986,                   1,               0.995,             0.82738,            0.008909,            0.004815,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.01567,           0.0060174,                   0,             0.99989,                   1,               0.995,               0.829,           0.0088509,           0.0047453,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.015235,           0.0062165,                   0,              0.9999,                   1,               0.995,             0.82912,           0.0089879,           0.0049224,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.015627,           0.0061177,                   0,             0.99989,                   1,               0.995,             0.82728,           0.0089507,           0.0049275,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.014647,            0.006341,                   0,             0.99979,                   1,               0.995,             0.82933,            0.008969,           0.0048984,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.015105,           0.0065212,                   0,             0.99971,                   1,               0.995,             0.83125,           0.0089044,           0.0047221,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.015299,            0.006472,                   0,             0.99986,                   1,               0.995,             0.83108,           0.0091071,           0.0048155,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.014124,           0.0060008,                   0,             0.99987,                   1,               0.995,             0.83453,           0.0088353,           0.0047344,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.015477,           0.0063813,                   0,             0.99985,                   1,               0.995,             0.84127,           0.0086763,           0.0046779,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.013969,             0.00607,                   0,             0.99977,                   1,               0.995,             0.83626,           0.0088152,           0.0046989,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.014395,            0.006371,                   0,             0.99983,                   1,               0.995,             0.82791,           0.0090223,           0.0048442,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.014199,           0.0060167,                   0,             0.99983,                   1,               0.995,             0.83139,            0.008553,           0.0047159,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.013998,           0.0062388,                   0,             0.99987,                   1,               0.995,             0.83168,            0.008795,           0.0047732,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.014315,           0.0062639,                   0,             0.99985,                   1,               0.995,             0.82844,           0.0091654,           0.0047843,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.014042,           0.0059415,                   0,              0.9997,                   1,               0.995,              0.8201,           0.0095701,           0.0050312,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.01473,           0.0061378,                   0,             0.99988,                   1,               0.995,             0.84254,           0.0084762,           0.0046712,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.014577,           0.0059609,                   0,             0.99989,                   1,               0.995,             0.83204,           0.0090959,           0.0047312,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.013736,           0.0056777,                   0,             0.99988,                   1,               0.995,             0.83419,           0.0087062,           0.0047461,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.014424,           0.0061654,                   0,             0.99988,                   1,               0.995,             0.83283,           0.0088023,           0.0049248,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.013657,           0.0061536,                   0,             0.99979,                   1,               0.995,             0.84209,           0.0084766,           0.0047299,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.01438,           0.0061905,                   0,              0.9998,                   1,               0.995,              0.8441,           0.0086389,           0.0047115,                   0,            0.005149,            0.005149,            0.005149
